Synonym,Mapping
rash spots,Rash
spotted rash,Rash
rash patches,Rash
rash lesions,Rash
rash bumps,Rash
rash welts,Rash
raised rash,Rash
flat rash,Rash
rash outbreak,Rash
lesion eruption,Rash
dermal eruption,Rash
skin breakout,Rash
skin blotches,Rash
exanthema,Rash
measles-like rash,Rash
allergic rash,Rash
contact rash,Rash
atopic rash,Rash
prickly rash,Rash
head pain,Headache
throbbing head,Headache
pounding head,Headache
head pressure,Headache
head discomfort,Headache
splitting head,Headache
buzzing head,Headache
aching head,Headache
head throbbing,Headache
migraine,Headache
tension headache,Headache
cluster headache,Headache
sinus headache,Headache
stress headache,Headache
bilateral headache,Headache
unilateral headache,Headache
temporal headache,Headache
occipital headache,Headache
forehead pain,Headache
skull ache,Headache
crown headache,Headache
neuralgic headache,Headache
vascular headache,Headache
dull ache,Headache
sharp ache,Headache
stabbing headache,Headache
pulsating headache,Headache
light-sensitive headache,Headache
noise-sensitive headache,Headache
eye ache,Headache
brain ache,Headache
cerebral pressure,Headache
temple ache,Headache
vertex headache,Headache
holocranial pain,Headache
hemicrania,Headache
icepick headache,Headache
thunderclap headache,Headache
morning headache,Headache
hormonal headache,Headache
muscle pain,Muscle_Aches
sore muscles,Muscle_Aches
aching muscles,Muscle_Aches
muscle soreness,Muscle_Aches
muscle discomfort,Muscle_Aches
muscle stiffness,Muscle_Aches
body aches,Muscle_Aches
muscle ache,Muscle_Aches
muscle cramps,Muscle_Aches
myalgia,Muscle_Aches
muscle fatigue,Muscle_Aches
muscle tenderness,Muscle_Aches
muscle tightness,Muscle_Aches
muscle throbbing,Muscle_Aches
muscle spasms,Muscle_Aches
muscle twinge,Muscle_Aches
lactic acid ache,Muscle_Aches
post-exertion ache,Muscle_Aches
fibromyalgia-like pain,Muscle_Aches
deep muscle ache,Muscle_Aches
superficial muscle ache,Muscle_Aches
muscle pull,Muscle_Aches
muscle strain,Muscle_Aches
DOMS,Muscle_Aches
muscle knot,Muscle_Aches
trigger point pain,Muscle_Aches
muscle burning,Muscle_Aches
muscle soreness,Muscle_Aches
everywhere ache,Muscle_Aches
full-body ache,Muscle_Aches
muscle ache episode,Muscle_Aches
muscle inflammation,Muscle_Aches
myofascial pain,Muscle_Aches
musculoskeletal pain,Muscle_Aches
muscle rigidity,Muscle_Aches
muscle stiffness,Muscle_Aches
stiff muscles,Muscle_Aches
limb ache,Muscle_Aches
uprooted ache,Muscle_Aches
widespread muscle pain,Muscle_Aches
